Munchery,FALSE,,"$4,000,000","$28,000,000","$85,000,000",San Francisco,Series C,51-200,E-Commerce;Hospitality;Marketplaces;Food and Beverages;
Philz Coffee,FALSE,,"$15,000,000","$15,000,000","$45,000,000",San Francisco,Series C,201-500,Retail;E-Commerce;Food and Beverages;
Cantaloupe Systems,FALSE,,,,"$12,400,000",San Francisco,Series C,51-200,B2B;M2M;SaaS;Vending and Concessions;
Sift Science,FALSE,"$1,600,000","$4,000,000","$18,000,000","$30,000,000",San Francisco,Series C,51-200,SaaS;Big Data;Fraud Detection;Machine Learning;
Airware,FALSE,,"$10,700,000","$25,000,000","$30,000,000",San Francisco,Series C,51-200,Aerospace;Enterprise Software;Unmanned Air Systems;Development Platforms;
Hampton Creek Inc.,FALSE,"$2,000,000","$4,000,000","$23,000,000","$90,000,000",San Francisco,Series C,51-200,Technology;Hospitality;Environmental Innovation;
Hired,FALSE,"$2,700,000",,,"$40,000,000",San Francisco,Series C,51-200,Recruiting;Marketplaces;Human Resources;Developer Tools;
SeatGeek,FALSE,"$20,000","$550,000","$35,000,000","$62,000,000",New York City,Series C,51-200,Maps;Events;Search;Ticketing;
Wave,FALSE,Unknown,"$5,000,000",,"$10,000,000",Toronto,Series C,51-200,Fin Tech;Payments;Accounting;
LendUp,FALSE,Unknown,"$14,000,000","$50,000,000","$47,500,000",Richmond,Series C,201-500,Consumer Lending;Finance Technology;Big Data Analytics;
Chartbeat,FALSE,"$3,000,000",,"$9,500,000","$15,500,000",New York City,Series C,51-200,Big Data;Analytics;Real Time;Data Visualization;
VTS,FALSE,,,"$21,000,000","$55,000,000",New York City,Series C,51-200,Video;Big Data;Predictive Analytics;Commercial Real Estate;
Zenefits,FALSE,"$2,100,000","$15,000,000","$66,500,000","$500,000,000",San Francisco,Series C,501-1000,Human Resources;Enterprise Software;Health and Insurance;
Breather,FALSE,"$1,500,000","$6,000,000","$20,000,000","$40,000,000",Montreal,Series C,51-200,Mobile;Real Estate;Hospitality;Collaborative Consumption;
